Timestamp,FSR 1,FSR 2,FSR 3,FSR 4,FSR 5,FSR 6,FSR 7,FSR 8,FSR 9,FSR 10,FSR 11,FSR 12,Temperature (°C)
1743710984749261,7,8,7,11,7,7,7,8,7,8,7,8,26.53
1743710984775105,10,7,8,7,7,8,8,7,8,7,6,4,26.66
1743710984801893,10,7,7,6,7,10,7,7,7,8,9,7,26.6
1743710984828916,11,7,8,9,8,6,7,5,6,8,7,8,26.53
1743710984854817,10,7,7,7,7,7,7,7,7,7,8,8,26.25
1743710984881877,6,7,7,7,5,7,6,8,8,7,7,8,26.67
1743710984908301,10,6,7,8,6,7,8,6,7,7,7,6,26.57
1743710984937141,7,6,7,8,8,7,7,7,6,6,5,7,26.87
1743710984963279,9,7,8,7,7,8,7,8,6,7,7,7,27.03
1743710984990643,9,7,6,8,9,8,7,8,6,7,6,6,26.91
1743710985017348,10,7,8,7,10,7,7,7,7,6,8,7,26.62
1743710985043430,7,7,7,6,8,7,7,7,8,7,8,10,27.16
1743710985070435,7,7,7,7,8,8,7,7,6,7,7,8,27.21
1743710985097094,6,7,7,8,7,7,8,7,4,8,7,6,27.37
1743710985123147,20,8,7,8,7,7,4,9,7,6,9,7,27.28
1743710985150396,6,9,7,6,7,9,8,7,7,7,7,5,27.44
1743710985176265,11,7,7,7,8,8,9,3,8,8,6,8,27.69
1743710985202598,7,7,8,11,8,7,9,8,9,7,7,7,27.48
1743710985230015,13,7,8,7,7,6,7,4,7,8,8,4,27.55
1743710985256523,8,7,9,7,7,7,8,8,7,7,7,14,27.62
1743710985282814,10,9,8,7,8,7,7,10,8,7,7,7,27.69
1743710985309182,9,7,6,8,8,7,8,7,7,8,7,8,27.64
1743710985335989,7,7,7,7,7,6,8,7,4,7,7,7,27.66
1743710985362795,10,7,7,7,7,7,8,7,9,7,7,7,27.86
1743710985389487,7,7,8,8,7,7,7,7,4,7,7,8,27.57
1743710985416375,9,7,4,7,9,8,6,6,5,6,8,7,27.41
1743710985443315,10,6,8,9,9,7,7,6,7,6,8,7,27.8
1743710985469164,6,8,7,8,7,6,7,8,6,6,7,6,27.87
1743710985496027,9,7,7,7,5,7,7,7,6,7,7,8,27.71
1743710985521651,10,8,7,8,6,7,8,7,7,8,7,6,27.87
1743710985548271,10,8,8,8,7,5,7,6,8,7,8,7,27.69
