Timestamp,FSR 1,FSR 2,FSR 3,FSR 4,FSR 5,FSR 6,FSR 7,FSR 8,FSR 9,FSR 10,FSR 11,FSR 12
1743705641118505,4,3,4,3,4,0,5,0,0,0,19,7
1743705641130990,8,0,4,2,3,4,0,3,11,0,3,2
1743705641143292,6,4,0,2,2,6,0,3,4,4,0,2
1743705641155239,4,1,0,3,3,1,6,2,3,0,5,2
1743705641167334,4,2,14,0,0,2,2,5,0,0,5,1
1743705641179796,6,0,2,4,2,0,4,0,3,0,4,0
1743705641192175,6,0,5,5,3,1,3,5,3,4,2,3
1743705641204690,5,0,4,5,0,0,1,1,0,3,3,0
1743705641216742,7,1,19,4,3,0,0,3,0,3,3,0
1743705641228494,2,3,3,1,5,4,3,3,3,0,0,2
1743705641240600,7,3,3,3,3,0,2,3,2,2,0,2
1743705641252596,5,0,2,4,2,10,4,4,3,0,3,4
1743705641264378,4,3,2,0,4,0,2,3,2,3,3,2
1743705641276277,16,3,2,0,0,4,3,0,3,2,0,3
1743705641288495,5,3,0,0,4,3,3,3,3,0,2,0
1743705641300665,5,3,2,3,2,4,3,1,0,3,10,3
1743705641312709,6,3,4,0,6,2,2,0,0,3,3,0
1743705641325081,7,14,2,3,3,7,3,1,1,3,2,0
1743705641336149,5,3,0,4,18,4,0,2,0,3,0,3
1743705641348100,4,2,2,4,3,2,0,3,0,1,3,4
1743705641361052,5,0,4,4,4,0,2,2,1,0,4,6
1743705641373219,2,4,1,4,0,3,0,2,0,2,17,3
1743705641384942,4,0,4,3,3,7,4,0,2,2,0,3
1743705641396975,5,0,3,1,4,3,4,10,1,4,0,0
1743705641410544,6,0,3,0,4,3,0,2,0,3,3,2
1743705641422890,3,4,2,0,4,1,1,5,4,3,0,4
1743705641434894,7,3,13,4,1,3,4,1,2,0,4,4
1743705641449114,6,2,1,3,3,2,2,5,3,1,1,0
1743705641458851,4,5,2,4,4,0,3,4,4,9,0,6
1743705641470572,7,3,4,4,3,0,3,3,3,3,3,2
1743705641482993,6,3,3,4,3,4,2,3,2,4,2,0
1743705641494946,6,0,0,2,4,2,0,1,3,1,4,1
1743705641506232,5,3,0,4,2,1,0,0,3,0,3,6
1743705641518259,5,3,2,2,3,3,3,1,9,5,3,1
1743705641530392,9,3,4,4,0,5,1,12,3,1,3,0
1743705641542394,9,13,4,3,0,4,3,0,1,1,0,4
1743705641554942,3,4,2,6,2,2,5,0,3,4,3,1
1743705641566948,8,1,17,4,2,3,5,3,1,3,3,3
1743705641578920,7,0,13,3,3,4,4,2,6,4,3,4
1743705641591669,3,0,4,2,3,0,4,3,2,0,3,4
1743705641602908,8,3,8,0,3,3,0,18,5,4,0,3
1743705641614325,6,0,2,3,3,3,3,5,1,0,4,0
1743705641626514,8,3,2,0,4,4,2,4,0,3,5,3
1743705641639202,0,5,4,4,0,0,1,2,2,0,2,0
1743705641651207,8,2,1,3,0,1,0,4,14,3,2,4
1743705641662292,6,0,4,3,0,1,6,0,2,3,1,0
1743705641674290,5,6,3,4,2,1,3,0,3,0,2,3
1743705641686293,9,4,3,3,2,0,2,4,1,5,2,0
1743705641698289,3,2,2,2,0,3,3,0,4,0,0,3
1743705641710289,14,3,1,0,2,5,3,2,0,4,2,4
1743705641722284,9,4,4,3,3,1,0,4,2,4,3,5
1743705641734010,5,8,0,4,3,0,1,5,4,0,1,1
1743705641746069,8,0,3,0,1,3,4,0,14,1,3,0
1743705641757264,7,2,4,3,3,3,3,5,4,2,4,4
1743705641769899,2,0,5,0,5,2,1,4,4,3,0,4
1743705641782626,5,4,2,3,0,4,1,0,2,4,3,5
1743705641794526,7,4,3,0,4,3,0,5,4,0,0,0
1743705641806320,22,4,2,2,6,3,2,4,3,3,0,1
1743705641818083,5,0,6,2,0,4,3,0,0,4,3,5
1743705641830591,4,4,4,3,0,0,4,3,0,2,4,3
1743705641843257,2,6,2,0,0,0,0,4,3,0,4,0
1743705641854786,3,0,4,2,0,3,4,3,4,3,4,3
1743705641866469,3,3,4,2,2,3,3,0,6,3,3,5
1743705641879122,5,4,0,3,1,2,0,3,0,4,2,4
1743705641891311,7,4,5,1,3,0,2,0,3,0,5,3
1743705641903507,9,3,4,2,1,3,0,3,2,1,0,1
1743705641916113,0,2,1,4,3,1,4,2,4,2,0,4
1743705641928319,7,0,4,1,0,0,2,0,4,1,1,3
1743705641940194,8,4,3,2,0,2,10,4,4,2,0,3
1743705641952192,3,4,4,1,1,0,0,5,3,3,0,0
1743705641964191,4,5,1,4,2,0,1,4,2,3,2,5
1743705641975966,7,0,0,4,4,11,2,3,2,1,0,4
1743705641988656,6,2,2,0,4,1,0,2,3,3,2,0
1743705642000002,7,4,4,0,3,2,0,3,3,13,3,5
1743705642012157,3,5,3,1,1,0,3,6,3,0,4,2
1743705642024391,7,1,2,4,4,4,0,4,3,5,2,2
1743705642036720,20,0,3,4,0,3,4,4,2,0,4,7
1743705642048270,3,3,0,2,2,2,3,4,1,1,2,4
1743705642060437,7,4,3,0,0,0,3,3,2,0,1,1
1743705642072048,6,3,3,2,0,0,4,0,4,6,3,1
1743705642084675,8,2,1,1,3,0,2,5,2,0,3,1
1743705642096694,3,3,2,1,0,2,1,0,3,0,4,2
1743705642108525,5,0,3,3,4,0,5,4,0,2,0,3
1743705642119622,2,4,0,3,0,3,2,1,5,0,0,4
1743705642131792,2,1,3,2,0,0,0,2,1,4,2,3
1743705642143564,4,5,0,4,3,1,4,0,0,3,1,4
